scientific_name,sra_accession,mag_file,tax_id,mag_name
uncultured Acidovorax sp.,ERS6626798,uncultured_Acidovorax_sp._ERS6626798.fasta,158751,uncultured_Acidovorax_sp._ERS6626798
uncultured Microbacterium sp.,ERS6626888,uncultured_Microbacterium_sp._ERS6626888.fasta,191216,uncultured_Microbacterium_sp._ERS6626888
uncultured Sphingomonas sp.,ERS6626769,uncultured_Sphingomonas_sp._ERS6626769.fasta,158754,uncultured_Sphingomonas_sp._ERS6626769
uncultured Microbacterium sp.,ERS6627018,uncultured_Microbacterium_sp._ERS6627018.fasta,191216,uncultured_Microbacterium_sp._ERS6627018
uncultured Sphingomonas sp.,ERS6626780,uncultured_Sphingomonas_sp._ERS6626780.fasta,158754,uncultured_Sphingomonas_sp._ERS6626780
uncultured Sphingomonas sp.,ERS6626833,uncultured_Sphingomonas_sp._ERS6626833.fasta,158754,uncultured_Sphingomonas_sp._ERS6626833
uncultured Sphingomonas sp.,ERS6626768,uncultured_Sphingomonas_sp._ERS6626768.fasta,158754,uncultured_Sphingomonas_sp._ERS6626768
uncultured Herbaspirillum sp.,ERS6626801,uncultured_Herbaspirillum_sp._ERS6626801.fasta,160236,uncultured_Herbaspirillum_sp._ERS6626801
uncultured Xanthomonas sp.,ERS6626846,uncultured_Xanthomonas_sp._ERS6626846.fasta,152831,uncultured_Xanthomonas_sp._ERS6626846
uncultured Novosphingobium sp.,ERS6626942,uncultured_Novosphingobium_sp._ERS6626942.fasta,292277,uncultured_Novosphingobium_sp._ERS6626942
uncultured Sphingomonas sp.,ERS6626954,uncultured_Sphingomonas_sp._ERS6626954.fasta,158754,uncultured_Sphingomonas_sp._ERS6626954
uncultured Pseudomonas sp.,ERS6627315,uncultured_Pseudomonas_sp._ERS6627315.fasta,114707,uncultured_Pseudomonas_sp._ERS6627315
uncultured Aureimonas sp.,ERS6627306,uncultured_Aureimonas_sp._ERS6627306.fasta,1604662,uncultured_Aureimonas_sp._ERS6627306
uncultured Mucilaginibacter sp.,ERS6627314,uncultured_Mucilaginibacter_sp._ERS6627314.fasta,797541,uncultured_Mucilaginibacter_sp._ERS6627314
uncultured Xanthomonas sp.,ERS6627277,uncultured_Xanthomonas_sp._ERS6627277.fasta,152831,uncultured_Xanthomonas_sp._ERS6627277
uncultured Sphingomonas sp.,ERS6626948,uncultured_Sphingomonas_sp._ERS6626948.fasta,158754,uncultured_Sphingomonas_sp._ERS6626948
uncultured Sphingomonas sp.,ERS6627257,uncultured_Sphingomonas_sp._ERS6627257.fasta,158754,uncultured_Sphingomonas_sp._ERS6627257
