IRRI seed bank ID,SRA accession,Group,New SRA
IRGC 121158,ERS6595574,indica,ERR6050392
IRGC 121193,ERS6595523,japonica,ERR6050341
IRGC 121193,ERS6595634,japonica,ERR6050451
IRGC 121193,ERS6595744,japonica,ERR6050561
IRGC 121197,ERS6595669,indica,ERR6050486
IRGC 121197,ERS6595558,indica,ERR6050376
IRGC 121197,ERS6595779,indica,ERR6050596
IRGC 121201,ERS6595781,indica,ERR6050598
IRGC 121201,ERS6595560,indica,ERR6050378
IRGC 121201,ERS6595671,indica,ERR6050488
IRGC 121213,ERS6595679,japonica,ERR6050496
IRGC 121213,ERS6595789,japonica,ERR6050606
IRGC 121213,ERS6595568,japonica,ERR6050386
IRGC 121220,ERS6595830,indica,ERR6050647
IRGC 121220,ERS6595610,indica,ERR6050427
IRGC 121220,ERS6595720,indica,ERR6050537
IRGC 121267,ERS6595721,japonica,ERR6050538
IRGC 121267,ERS6595611,japonica,ERR6050428
IRGC 121267,ERS6595831,japonica,ERR6050648
IRGC 121277,ERS6595690,indica,ERR6050507
IRGC 121277,ERS6595579,indica,ERR6050397
IRGC 121277,ERS6595800,indica,ERR6050617
IRGC 121278,ERS6595770,japonica,ERR6050587
IRGC 121278,ERS6595660,japonica,ERR6050477
IRGC 121278,ERS6595549,japonica,ERR6050367
IRGC 121291,ERS6595740,indica,ERR6050557
IRGC 121291,ERS6595630,indica,ERR6050447
IRGC 121291,ERS6595519,indica,ERR6050337
IRGC 121292,ERS6595718,japonica,ERR6050535
IRGC 121292,ERS6595828,japonica,ERR6050645
IRGC 121292,ERS6595608,japonica,ERR6050425
IRGC 121293,ERS6595714,japonica,ERR6050531
IRGC 121293,ERS6595604,japonica,ERR6050421
IRGC 121293,ERS6595824,japonica,ERR6050641
IRGC 121300,ERS6595707,japonica,ERR6050524
IRGC 121300,ERS6595817,japonica,ERR6050634
IRGC 121300,ERS6595597,japonica,ERR6050414
IRGC 121324,ERS6595559,indica,ERR6050377
IRGC 121324,ERS6595780,indica,ERR6050597
IRGC 121324,ERS6595670,indica,ERR6050487
IRGC 121334,ERS6595607,japonica,ERR6050424
IRGC 121334,ERS6595717,japonica,ERR6050534
